measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291249_ims.csv	p1	0.47903	0	118.853	830	0
BD18_1711291249_ims.csv	p2	0.48835	0	16.1145	846	0
BD18_1711291249_ims.csv	p3	0.50523	0	16.3669	875	0
BD18_1711291249_ims.csv	p4	0.58615	3.525	76.8026	1014	7
BD18_1711291249_ims.csv	p5	0.45226	4.477	195.888	784	9
BD18_1711291249_ims.csv	p7	0.49708	6.505	204.737	861	13
BD18_1711291249_ims.csv	p8	0.58091	7.472	21.0241	1005	15
BD18_1711291249_ims.csv	p9	0.50814	11.419	19.478	880	23
BD18_1711291249_ims.csv	p10	0.54831	7.472	335.632	949	15
BD18_1711291249_ims.csv	p12	0.57043	21.465	10.9184	987	43
BD18_1711291249_ims.csv	p13	0.5681	8.517	23.3505	983	17
BD18_1711291249_ims.csv	p15	0.53608	16.005	74.1328	928	32
BD18_1711291249_ims.csv	p16	0.5355	24.913	59.7749	927	50
BD18_1711291249_ims.csv	p17	0.53608	9.5	76.9113	928	19
BD18_1711291249_ims.csv	p18	0.7701	27.893	10.2402	1330	56
BD18_1711291249_ims.csv	p19	0.81841	28.938	14.5025	1413	58
BD18_1711291249_ims.csv	p21	0.89933	28.423	17.5695	1552	57
BD18_1711291249_ims.csv	p23	0.72003	27.893	27.1619	1244	56
BD18_1711291249_ims.csv	p24	0.78116	28.423	12.2601	1349	57
BD18_1711291249_ims.csv	p25	0.77534	28.423	10.8179	1339	57
BD18_1711291249_ims.csv	p27	0.80037	28.423	12.1082	1382	57
BD18_1711291249_ims.csv	p29	0.80968	28.423	14.2105	1398	57
BD18_1711291249_ims.csv	p30	0.81376	28.423	14.5308	1405	57
BD18_1711291249_ims.csv	p31	0.82482	29.375	15.8656	1424	59
BD18_1711291249_ims.csv	p33	0.7602	28.423	15.0924	1313	57
BD18_1711291249_ims.csv	p35	0.7864	28.423	12.0748	1358	57
BD18_1711291249_ims.csv	p36	0.79688	28.938	11.0588	1376	58
BD18_1711291249_ims.csv	p37	0.84577	29.375	613.818	1460	59
BD18_1711291249_ims.csv	p39	0.91563	28.423	18.858	1580	57
BD18_1711291249_ims.csv	p40	0.68511	31.824	41.8344	1184	64
BD18_1711291249_ims.csv	p43	0.64319	31.387	367.594	1112	63
BD18_1711291249_ims.csv	p50	0.51513	49.748	15.3522	892	100
BD18_1711291249_ims.csv	p55	0.51513	67.189	13.1497	892	135
BD18_1711291249_ims.csv	p60	0.51513	80.121	11.6166	892	161
BD18_1711291249_ims.csv	p66	0.53725	76.159	14.0961	930	153
BD18_1711291249_ims.csv	p67	0.53608	66.128	20.1115	928	133
BD18_1711291249_ims.csv	p70	0.5355	38.813	37.2134	927	78
BD18_1711291249_ims.csv	p78	0.48835	54.257	18.6834	846	109
BD18_1711291249_ims.csv	p82	0.48835	69.217	22.2394	846	139
BD18_1711291249_ims.csv	p85	0.48835	79.591	24.9424	846	160
BD18_1711291249_ims.csv	p88	0.89991	94.63	14.4833	1553	190
BD18_1711291249_ims.csv	p90	0.73866	92.508	26.2069	1276	186
BD18_1711291249_ims.csv	p91	0.9622	96.548	49.5051	1660	194
BD18_1711291249_ims.csv	p92	1.10133	97.001	19.5733	1899	195
BD18_1711291249_ims.csv	p93	1.00062	97.001	42.5322	1726	195
BD18_1711291249_ims.csv	p95	0.94939	97.001	50.303	1638	195
BD18_1711291249_ims.csv	p96	1.06698	97.001	25.448	1840	195
BD18_1711291249_ims.csv	p97	1.11821	97.001	20.8417	1928	195
BD18_1711291249_ims.csv	p98	1.04021	97.001	30.8994	1794	195
BD18_1711291249_ims.csv	p99	0.95172	98.046	50.2272	1642	197
BD18_1711291249_ims.csv	p101	1.0111	97.531	38.8249	1744	196
BD18_1711291249_ims.csv	p102	1.0274	97.531	34.3513	1772	196
BD18_1711291249_ims.csv	p104	1.0926	97.001	20.587	1884	195
BD18_1711291249_ims.csv	p105	1.08095	97.001	22.1578	1864	195
BD18_1711291249_ims.csv	p106	0.88711	98.046	10.4623	1531	197
BD18_1711291249_ims.csv	p108	1.01576	97.001	38.0531	1752	195
BD18_1711291249_ims.csv	p109	1.04719	98.046	28.8224	1806	197
BD18_1711291249_ims.csv	p110	1.10948	96.548	19.6463	1913	194
BD18_1711291249_ims.csv	p112	1.07572	97.531	23.5192	1855	196
BD18_1711291249_ims.csv	p113	1.06058	97.531	25.4819	1829	196
BD18_1711291249_ims.csv	p115	0.95754	98.514	50.4212	1652	198
BD18_1711291249_ims.csv	p116	0.96686	98.514	49.3589	1668	198
BD18_1711291249_ims.csv	p118	1.1054	97.001	20.0955	1906	195
BD18_1711291249_ims.csv	p119	0.89409	95.066	13.9803	1543	191
BD18_1711291249_ims.csv	p122	1.13975	97.001	62.7595	1965	195
BD18_1711291249_ims.csv	p124	0.97501	98.046	54.0441	1682	197
BD18_1711291249_ims.csv	p127	0.92436	101.587	113.725	1595	204
BD18_1711291249_ims.csv	p128	0.60594	103.553	89.6997	1048	208
BD18_1711291249_ims.csv	p129	0.88827	116.969	42.5327	1533	235
BD18_1711291249_ims.csv	p140	0.48835	147.779	32.8469	846	297
