measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291729_ims.csv	p1	0.47868	0	99.9939	829	0
BD18_1711291729_ims.csv	p2	0.50431	0	13.0826	873	0
BD18_1711291729_ims.csv	p3	0.58701	3.525	42.8252	1015	7
BD18_1711291729_ims.csv	p4	0.75707	7.94	15.6875	1307	16
BD18_1711291729_ims.csv	p5	0.49732	6.521	212.846	861	13
BD18_1711291729_ims.csv	p6	0.54857	7.503	204.753	949	15
BD18_1711291729_ims.csv	p7	0.45189	11.014	13.7581	783	22
BD18_1711291729_ims.csv	p8	0.45247	4.571	216.581	784	9
BD18_1711291729_ims.csv	p9	0.5375	7.94	53.5771	930	16
BD18_1711291729_ims.csv	p10	0.64467	19.391	28.3479	1114	39
BD18_1711291729_ims.csv	p11	0.57769	23.416	15.2785	999	47
BD18_1711291729_ims.csv	p12	0.81357	29.453	14.4356	1404	59
BD18_1711291729_ims.csv	p13	0.68311	29.89	12.9693	1180	60
BD18_1711291729_ims.csv	p15	0.59807	29.453	130.352	1034	59
BD18_1711291729_ims.csv	p16	0.59807	19.391	177.899	1034	39
BD18_1711291729_ims.csv	p17	0.64408	29.453	172.181	1113	59
BD18_1711291729_ims.csv	p18	0.59807	37.846	142.985	1034	76
BD18_1711291729_ims.csv	p19	0.59807	56.737	57.2192	1034	114
BD18_1711291729_ims.csv	p20	1.01741	97.656	20.7685	1754	196
BD18_1711291729_ims.csv	p21	1.05818	97.126	13.8303	1824	195
BD18_1711291729_ims.csv	p22	0.89627	97.656	11.4852	1546	196
BD18_1711291729_ims.csv	p23	0.97606	97.656	35.2607	1683	196
BD18_1711291729_ims.csv	p24	1.10069	97.656	10.2666	1897	196
BD18_1711291729_ims.csv	p25	1.10535	97.656	10.3118	1905	196
BD18_1711291729_ims.csv	p26	0.96499	97.656	33.0084	1664	196
BD18_1711291729_ims.csv	p27	1.11467	97.656	10.9697	1921	196
BD18_1711291729_ims.csv	p29	1.04245	97.656	17.2727	1797	196
BD18_1711291729_ims.csv	p30	1.064	98.093	13.4756	1834	197
BD18_1711291729_ims.csv	p32	1.00168	97.656	24.2872	1727	196
BD18_1711291729_ims.csv	p33	1.01158	97.656	21.6924	1744	196
BD18_1711291729_ims.csv	p34	1.00634	97.656	22.638	1735	196
BD18_1711291729_ims.csv	p35	1.06808	98.093	12.6211	1841	197
BD18_1711291729_ims.csv	p37	1.11933	97.656	10.4881	1929	196
BD18_1711291729_ims.csv	p38	0.90151	98.093	12.5355	1555	197
BD18_1711291729_ims.csv	p39	1.02789	98.093	18.6662	1772	197
BD18_1711291729_ims.csv	p40	1.08904	98.093	10.9122	1877	197
BD18_1711291729_ims.csv	p41	1.1403	97.656	32.247	1965	196
BD18_1711291729_ims.csv	p42	1.02381	97.656	20.3735	1765	196
BD18_1711291729_ims.csv	p43	1.05061	98.093	15.2224	1811	197
BD18_1711291729_ims.csv	p44	1.07798	97.656	12.593	1858	196
BD18_1711291729_ims.csv	p45	1.03372	98.093	17.4963	1782	197
BD18_1711291729_ims.csv	p47	0.89277	98.608	10.767	1540	198
BD18_1711291729_ims.csv	p49	0.92422	98.608	120.965	1594	198
BD18_1711291729_ims.csv	p51	0.73902	94.084	27.3533	1276	189
BD18_1711291729_ims.csv	p53	0.60681	101.525	94.1455	1049	204
BD18_1711291729_ims.csv	p54	0.8887	117.53	48.4054	1533	236
