measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291649_m2_ims.csv	p1	0.47903	0	127.01	830	0
BD18_1711291649_m2_ims.csv	p2	0.50581	0	17.7915	876	0
BD18_1711291649_m2_ims.csv	p3	1.13917	97.562	26.3261	1964	196
BD18_1711291649_m2_ims.csv	p4	0.58673	3.525	78.8455	1015	7
BD18_1711291649_m2_ims.csv	p5	1.05534	97.562	10.8371	1820	196
BD18_1711291649_m2_ims.csv	p6	1.06582	97.562	10.1374	1838	196
BD18_1711291649_m2_ims.csv	p7	0.45226	4.492	176.693	784	9
BD18_1711291649_m2_ims.csv	p8	1.03206	98.171	14.2522	1780	197
BD18_1711291649_m2_ims.csv	p9	0.58032	7.488	18.0113	1004	15
BD18_1711291649_m2_ims.csv	p10	0.65309	101.54	10.2365	1129	204
BD18_1711291649_m2_ims.csv	p11	0.49708	6.52	241.11	861	13
BD18_1711291649_m2_ims.csv	p12	1.04603	97.562	11.8784	1804	196
BD18_1711291649_m2_ims.csv	p14	0.56402	10.062	14.8355	976	20
BD18_1711291649_m2_ims.csv	p15	0.99363	97.562	21.3739	1714	196
BD18_1711291649_m2_ims.csv	p16	1.00411	97.562	18.5353	1732	196
BD18_1711291649_m2_ims.csv	p17	0.92378	98.171	123.298	1594	197
BD18_1711291649_m2_ims.csv	p18	0.97501	97.562	30.5356	1682	196
BD18_1711291649_m2_ims.csv	p20	1.04079	98.171	12.9103	1795	197
BD18_1711291649_m2_ims.csv	p21	1.01459	97.562	16.3488	1750	196
BD18_1711291649_m2_ims.csv	p22	0.73866	95.082	28.6568	1276	191
BD18_1711291649_m2_ims.csv	p24	0.60652	101.103	116.495	1049	203
BD18_1711291649_m2_ims.csv	p26	0.88827	116.937	48.5006	1533	235
BD18_1711291649_m2_ims.csv	p27	1.03613	97.032	13.0164	1787	195
BD18_1711291649_m2_ims.csv	p28	1.05185	97.562	10.9262	1814	196
BD18_1711291649_m2_ims.csv	p29	1.02623	97.562	15.0533	1770	196
BD18_1711291649_m2_ims.csv	p30	0.68627	29.452	15.3483	1186	59
BD18_1711291649_m2_ims.csv	p31	0.95987	97.562	28.899	1656	196
BD18_1711291649_m2_ims.csv	p32	0.83995	29.452	19.6014	1450	59
BD18_1711291649_m2_ims.csv	p33	0.85451	29.452	14.2912	1475	59
BD18_1711291649_m2_ims.csv	p34	1.05942	97.562	10.6475	1827	196
BD18_1711291649_m2_ims.csv	p36	1.07048	97.562	10.6436	1846	196
BD18_1711291649_m2_ims.csv	p37	0.6822	29.452	13.3242	1179	59
BD18_1711291649_m2_ims.csv	p38	0.81318	29.452	33.2317	1404	59
BD18_1711291649_m2_ims.csv	p39	0.66182	94.115	13.4481	1144	189
BD18_1711291649_m2_ims.csv	p41	0.59779	29.452	175.629	1034	59
BD18_1711291649_m2_ims.csv	p42	0.59837	19.422	270.126	1035	39
BD18_1711291649_m2_ims.csv	p43	0.96919	97.562	27.8363	1672	196
BD18_1711291649_m2_ims.csv	p44	0.64378	29.452	236.016	1113	59
BD18_1711291649_m2_ims.csv	p45	0.59779	37.908	215.405	1034	76
BD18_1711291649_m2_ims.csv	p46	0.59837	56.768	51.3657	1035	114
BD18_1711291649_m2_ims.csv	p47	0.68802	75.207	14.44	1189	151
BD18_1711291649_m2_ims.csv	p50	0.50872	11.466	15.4434	881	23
BD18_1711291649_m2_ims.csv	p51	0.53608	8.096	51.8854	928	16
BD18_1711291649_m2_ims.csv	p52	0.54831	7.488	324.922	949	15
BD18_1711291649_m2_ims.csv	p54	0.80561	19.422	18.4271	1391	39
BD18_1711291649_m2_ims.csv	p55	0.64436	19.422	53.8041	1114	39
BD18_1711291649_m2_ims.csv	p56	0.57741	23.446	10.7648	999	47
BD18_1711291649_m2_ims.csv	p57	0.85101	29.452	14.4614	1469	59
