measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291743_ims.csv	p1	0.47868	0	140.073	829	0
BD18_1711291743_ims.csv	p2	0.5078	0	18.5237	879	0
BD18_1711291743_ims.csv	p3	0.86423	19.453	10.0428	1491	39
BD18_1711291743_ims.csv	p4	0.64467	19.453	60.6274	1114	39
BD18_1711291743_ims.csv	p5	0.53517	2.995	33.403	926	6
BD18_1711291743_ims.csv	p6	0.80425	19.453	46.0102	1388	39
BD18_1711291743_ims.csv	p7	0.45306	4.508	172.698	785	9
BD18_1711291743_ims.csv	p9	1.11409	97.625	20.4888	1920	196
BD18_1711291743_ims.csv	p10	0.85026	19.453	22.9424	1467	39
BD18_1711291743_ims.csv	p11	0.58643	3.51	61.6914	1014	7
BD18_1711291743_ims.csv	p13	0.57711	23.447	16.6307	998	47
BD18_1711291743_ims.csv	p14	0.61322	6.521	11.4441	1060	13
BD18_1711291743_ims.csv	p15	0.68544	29.437	28.2287	1184	59
BD18_1711291743_ims.csv	p16	0.71747	29.437	16.6998	1239	59
BD18_1711291743_ims.csv	p17	0.58002	8.018	16.3971	1003	16
BD18_1711291743_ims.csv	p20	1.05643	97.094	25.598	1821	195
BD18_1711291743_ims.csv	p21	0.97547	97.625	54.686	1682	196
BD18_1711291743_ims.csv	p22	0.81298	29.437	77.1291	1403	59
BD18_1711291743_ims.csv	p23	0.56779	8.018	15.9552	982	16
BD18_1711291743_ims.csv	p25	0.94461	97.094	56.9941	1629	195
BD18_1711291743_ims.csv	p26	0.84036	29.437	45.6889	1450	59
BD18_1711291743_ims.csv	p28	0.78095	8.455	14.2957	1348	17
BD18_1711291743_ims.csv	p29	1.10244	97.625	18.117	1900	196
BD18_1711291743_ims.csv	p30	0.6435	112.055	13.273	1112	225
BD18_1711291743_ims.csv	p31	0.59749	28.907	173.204	1033	58
BD18_1711291743_ims.csv	p32	0.49499	11.466	105.856	857	23
BD18_1711291743_ims.csv	p33	0.59749	19.453	333.842	1033	39
BD18_1711291743_ims.csv	p34	1.04187	98.67	29.6264	1796	198
BD18_1711291743_ims.csv	p35	0.94985	97.094	54.9557	1638	195
BD18_1711291743_ims.csv	p36	0.49732	5.553	203.071	861	11
BD18_1711291743_ims.csv	p37	0.95451	97.625	52.5156	1646	196
BD18_1711291743_ims.csv	p38	0.6435	29.437	314.799	1112	59
BD18_1711291743_ims.csv	p39	0.53517	11.029	56.4716	926	22
BD18_1711291743_ims.csv	p40	1.05061	97.094	27.7046	1811	195
BD18_1711291743_ims.csv	p41	0.54799	2.995	75.59	948	6
BD18_1711291743_ims.csv	p42	1.02789	97.094	34.5181	1772	195
BD18_1711291743_ims.csv	p43	1.0838	97.625	21.5967	1868	196
BD18_1711291743_ims.csv	p44	0.54799	7.488	919.444	948	15
BD18_1711291743_ims.csv	p45	0.8456	19.453	20.1035	1459	39
BD18_1711291743_ims.csv	p46	0.92422	101.556	115.017	1594	204
BD18_1711291743_ims.csv	p47	1.1071	98.14	19.1524	1908	197
BD18_1711291743_ims.csv	p48	0.82521	19.453	16.1182	1424	39
BD18_1711291743_ims.csv	p49	0.83104	19.453	13.5959	1434	39
BD18_1711291743_ims.csv	p50	1.07681	97.625	22.6362	1856	196
BD18_1711291743_ims.csv	p51	1.09137	97.625	19.9419	1881	196
BD18_1711291743_ims.csv	p52	0.95859	99.107	51.0563	1653	199
BD18_1711291743_ims.csv	p53	1.00984	98.14	39.7973	1741	197
BD18_1711291743_ims.csv	p55	1.04653	97.625	28.5072	1804	196
BD18_1711291743_ims.csv	p56	0.60623	104.13	82.8009	1048	209
BD18_1711291743_ims.csv	p57	1.06924	97.625	24.82	1843	196
BD18_1711291743_ims.csv	p58	1.06167	97.094	25.7984	1830	195
BD18_1711291743_ims.csv	p59	0.88811	117.062	42.5022	1532	235
BD18_1711291743_ims.csv	p66	0.48916	148.918	15.0028	847	299
BD18_1711291743_ims.csv	p67	0.59749	37.892	340.339	1033	76
BD18_1711291743_ims.csv	p68	0.65049	45.833	18.057	1124	92
BD18_1711291743_ims.csv	p69	0.59807	56.768	197.594	1034	114
BD18_1711291743_ims.csv	p70	0.58584	69.732	10.9624	1013	140
BD18_1711291743_ims.csv	p72	0.68893	67.719	34.1237	1190	136
BD18_1711291743_ims.csv	p74	1.12049	98.14	19.6975	1931	197
BD18_1711291743_ims.csv	p77	0.73843	92.664	23.477	1275	186
BD18_1711291743_ims.csv	p78	0.89219	94.162	10.5589	1539	189
BD18_1711291743_ims.csv	p81	0.8986	95.066	11.8313	1550	191
BD18_1711291743_ims.csv	p82	1.14088	97.625	59.5985	1966	196
